## GISAID ACCESSION – SAMPLES IN THIS WORK,,,,
#Accession ID,Sample_ID,Collection date,Location,
EPI_ISL_2963518,REICUY8-002121-UYMO,2021-01-14,South America / Uruguay / Montevideo,South America / Uruguay / 
EPI_ISL_2963519,CUY1-000101-UYSA,2021-02-25,South America / Uruguay / Salto,
EPI_ISL_2963634,CUY1-000008-UYSJ,2021-03-04,South America / Uruguay / San Jose,
EPI_ISL_2964004,CUY1-000107-UYRN,2021-03-02,South America / Uruguay / Rio Negro,
EPI_ISL_2964223,CUY1-000091-UYMO,2021-03-13,South America / Uruguay / Montevideo,
EPI_ISL_2964380,CUY1-000112-UYSA,2021-03-04,South America / Uruguay / Salto,
EPI_ISL_2964381,CUY1-000162-UYTA,2021-01-06,South America / Uruguay / Tacuarembo,
EPI_ISL_2964382,CUY1-000021-UYCO,2021-03-04,South America / Uruguay / Colonia,
EPI_ISL_2964383,CUY1-000167-UYTA,2021-01-18,South America / Uruguay / Tacuarembo,
EPI_ISL_2964384,CUY1-000023-UYMA,2021-03-04,South America / Uruguay / Maldonado,
EPI_ISL_2964385,CUY1-000076-UYCA,2021-03-12,South America / Uruguay / Canelones,
EPI_ISL_2964386,CUY2-000184-UYSA,2021-01-19,South America / Uruguay / Salto,
EPI_ISL_2964387,CUY3-000356-UYSJ,2021-03-28,South America / Uruguay / San Jose,
EPI_ISL_2964388,CUY4-000413-UYCO,2021-03-28,South America / Uruguay / Colonia,
EPI_ISL_2964483,CUY4-000458-UYCO,2021-04-03,South America / Uruguay / Colonia,
EPI_ISL_2964557,CUY3-000376-UYMO,2021-03-31,South America / Uruguay / Montevideo,
EPI_ISL_2964558,CUY4-000420-UYTA,2021-03-29,South America / Uruguay / Tacuarembo,
EPI_ISL_2964559,CUY4-000460-UYSJ,2021-04-03,South America / Uruguay / San Jose,
EPI_ISL_2964560,CUY3-000280-UYMO,2021-03-30,South America / Uruguay / Montevideo,
EPI_ISL_2964561,CUY3-000383-UYMO,2021-03-31,South America / Uruguay / Montevideo,
EPI_ISL_2964562,CUY4-000421-UYCA,2021-03-30,South America / Uruguay / Canelones,
EPI_ISL_2964564,CUY3-000384-UYMO,2021-03-31,South America / Uruguay / Montevideo,
EPI_ISL_2964565,CUY3-000285-UYMO,2021-03-30,South America / Uruguay / Montevideo,
EPI_ISL_2964566,CUY3-000386-UYMO,2021-03-31,South America / Uruguay / Montevideo,
EPI_ISL_2964567,CUY4-000435-UYRO,2021-03-31,South America / Uruguay / Rocha,
EPI_ISL_2964568,CUY4-000445-UYLA,2021-04-01,South America / Uruguay / Lavalleja,
EPI_ISL_2964569,CUY5-000546-UYMO,2021-04-10,South America / Uruguay / Montevideo,
